loss_dir-001,val_loss_dir-001,loss_dir-002,val_loss_dir-002,loss_dir-003,val_loss_dir-003,loss_dir-004,val_loss_dir-004,loss_dir-005,val_loss_dir-005
0.3943059087,0.3428185952,0.3099763677,0.3171686165,0.3196593265,0.3178754939,0.3297939209,0.3168622087,0.3220842029,0.3159937559
0.3216790282,0.3276747191,0.3073034932,0.3192191438,0.3166862956,0.3163398029,0.3263438157,0.3176346068,0.3206117095,0.3160176313
0.3083443571,0.31924953,0.306430662,0.3176522912,0.3152446491,0.3168348749,0.3248141161,0.3177377327,0.3189180679,0.3169416802
0.3041985851,0.3192052555,0.3058221396,0.3183774336,0.3150340314,0.3164744394,0.3237889028,0.3178246716,0.3207205987,0.3167476442
0.3016857049,0.3187882908,0.3047169982,0.3193210621,0.3146611016,0.3160927539,0.3244725572,0.3179806907,0.3200406352,0.3163335194
0.3008161436,0.317400544,0.3039745929,0.3180273534,0.3140158545,0.317797019,0.3238916805,0.3167226055,0.3185061149,0.3163884686
0.2985752827,0.316607331,0.3040234272,0.3200713235,0.3151990869,0.3148047385,0.3238514096,0.3174248362,0.3183283873,0.3170422547
0.2969655818,0.317448924,0.3038435488,0.3175626718,0.3131947102,0.3172946614,0.3239742483,0.3180861776,0.3185566495,0.3156181172
0.2974890886,0.3174957308,0.3030952397,0.3185015565,0.3133048343,0.3165218003,0.3235887306,0.317863767,0.3168190608,0.3155670568
0.2977568856,0.3179451643,0.3024695179,0.3169333361,0.3132727014,0.3167490827,0.3229549412,0.3189866556,0.3166514655,0.3165953724
0.29757844,0.3197137278,0.3019707437,0.3180090466,0.3128805118,0.3169241925,0.3234976313,0.3189531051,0.317132892,0.3162505896
0.2966200716,0.3166364056,0.3016787154,0.3166820177,0.3125186194,0.3154352987,0.3228882847,0.3167140453,0.3164031199,0.3156442752
